question,answer,question keywords,answer keywords,combined keywords
Which Wizarding World publication contains series about the Crumple-Horned Snorkack?,The Quibbler,"['which', 'crumplehorned', 'wizarding', 'snorkack', 'world', 'contain', 'publication', 'series']",['quibbler'],"['which', 'crumplehorned', 'wizarding', 'snorkack', 'world', 'contain', 'publication', 'series', 'quibbler']"
Harry is known for his talents in Quidditch. What is the max speed for a Firebolt broomstick?,150 mph.,"['harry', 'speed', 'firebolt', 'broomstick', 'talent', 'max', 'quidditch', 'what', 'know']",['mph'],"['harry', 'speed', 'firebolt', 'broomstick', 'talent', 'max', 'quidditch', 'what', 'know', 'mph']"
Why does Neville Longbottom faint in Herbology class?,"His earmuffs were loose, so he heard the cry of the baby mandrake.","['neville', 'faint', 'longbottom', 'why', 'class', 'herbology']","['loose', 'mandrake', 'earmuff', 'baby', 'cry', 'hear']","['neville', 'faint', 'longbottom', 'why', 'class', 'herbology', 'loose', 'mandrake', 'earmuff', 'baby', 'cry', 'hear']"
Where’s Peeves favorite place to swim?,Boys’ ground floor toilets,"['place', 'wheres', 'favorite', 'swim', 'peeve']","['ground', 'boy', 'toilet', 'floor']","['place', 'wheres', 'favorite', 'swim', 'peeve', 'ground', 'boy', 'toilet', 'floor']"
What does the reductor curse do?,Blasts objects into pieces.,"['reductor', 'curse', 'what']","['object', 'blast', 'piece']","['reductor', 'curse', 'what', 'object', 'blast', 'piece']"
Can the Extinguishing Charm be used to put out dragon fire?,"Yes, it can.","['extinguish', 'put', 'charm', 'use', 'fire', 'dragon']",['yes'],"['extinguish', 'put', 'charm', 'use', 'fire', 'dragon', 'yes']"
In which of these scenarios would you use Cistem Aperio?,Blasting Open a Locked Trunk,"['which', 'aperio', 'cistem', 'use', 'scenario', 'would']","['trunk', 'lock', 'blast', 'open']","['which', 'aperio', 'cistem', 'use', 'scenario', 'would', 'trunk', 'lock', 'blast', 'open']"
What does 'Avis' conjure?,Birds,"['avis', 'conjure', 'what']",['bird'],"['avis', 'conjure', 'what', 'bird']"
The Broom Casting technique enables one to do what while flying?,Cast spells.,"['fly', 'enable', 'one', 'casting', 'what', 'broom', 'technique']","['spell', 'cast']","['fly', 'enable', 'one', 'casting', 'what', 'broom', 'technique', 'spell', 'cast']"
"What does Glumbubles treacle induce, if ingested?",Melancholy.,"['what', 'ingest', 'induce', 'treacle', 'glumbubles']",['melancholy'],"['what', 'ingest', 'induce', 'treacle', 'glumbubles', 'melancholy']"
Who is the second Peverell brother?,Cadmus Peverell,"['second', 'who', 'peverell', 'brother']","['peverell', 'cadmus']","['second', 'who', 'peverell', 'brother', 'peverell', 'cadmus']"
Who wrote A History of Magic?,Bathilda Bagshot,"['who', 'write', 'history', 'magic']","['bathilda', 'bagshot']","['who', 'write', 'history', 'magic', 'bathilda', 'bagshot']"
What is Gilderoy Lockhart’s autobiography called?,Magical Me,"['call', 'lockharts', 'what', 'gilderoy', 'autobiography']",['magical'],"['call', 'lockharts', 'what', 'gilderoy', 'autobiography', 'magical']"
What animal did Ginny joke that Ron had tattooed on his body?,Pygmy Puff,"['animal', 'ginny', 'joke', 'ron', 'tattooed', 'body', 'what']","['puff', 'pygmy']","['animal', 'ginny', 'joke', 'ron', 'tattooed', 'body', 'what', 'puff', 'pygmy']"
Who is the author of 'Curses and Counter-Curses'?,Vindictus Viridian,"['who', 'curse', 'countercurses', 'author']","['viridian', 'vindictus']","['who', 'curse', 'countercurses', 'author', 'viridian', 'vindictus']"
How many players are on a Quidditch team?,Seven,"['team', 'many', 'how', 'quidditch', 'player']",['seven'],"['team', 'many', 'how', 'quidditch', 'player', 'seven']"
What is Parvati Patil’s Boggart in the book and the movie?,"In the book, a mummy; in the movie, a giant cobra","['patils', 'boggart', 'book', 'movie', 'parvati', 'what']","['book', 'mummy', 'movie', 'cobra', 'giant']","['patils', 'boggart', 'book', 'movie', 'parvati', 'what', 'book', 'mummy', 'movie', 'cobra', 'giant']"
Which Ministry of Magic department regulates Quidditch?,Magical Games and Sports,"['which', 'magic', 'regulate', 'quidditch', 'ministry', 'department']","['game', 'sport', 'magical']","['which', 'magic', 'regulate', 'quidditch', 'ministry', 'department', 'game', 'sport', 'magical']"
What ghost does Peeve fear?,Bloody Baron,"['ghost', 'peeve', 'fear', 'what']","['baron', 'bloody']","['ghost', 'peeve', 'fear', 'what', 'baron', 'bloody']"
Where do vanished items go?,Into non-being,"['go', 'where', 'item', 'vanished']",['nonbeing'],"['go', 'where', 'item', 'vanished', 'nonbeing']"
Who wrote the Dream Oracle?,Inigo Imago,"['who', 'write', 'oracle', 'dream']","['imago', 'inigo']","['who', 'write', 'oracle', 'dream', 'imago', 'inigo']"
What is the side effect of Pepperup Potion?,Steam Coming from the Ears,"['potion', 'side', 'effect', 'pepperup', 'what']","['come', 'ear', 'steam']","['potion', 'side', 'effect', 'pepperup', 'what', 'come', 'ear', 'steam']"
Which best describes the effects of a Switching Spell?,Switching Two Targets Simultaneously,"['which', 'spell', 'describes', 'effect', 'best', 'switch']","['target', 'simultaneously', 'two', 'switch']","['which', 'spell', 'describes', 'effect', 'best', 'switch', 'target', 'simultaneously', 'two', 'switch']"
Which potions does not contain Valerian Sprigs?,Polyjuice Potion.,"['which', 'valerian', 'potion', 'contain', 'sprig']","['polyjuice', 'potion']","['which', 'valerian', 'potion', 'contain', 'sprig', 'polyjuice', 'potion']"
What property do you have to account for in Transfiguration?,Target's weight.,"['transfiguration', 'property', 'account', 'what']","['weight', 'target']","['transfiguration', 'property', 'account', 'what', 'weight', 'target']"
Which sweet-smelling plant changes its scent?,Flutterby Bush,"['which', 'plant', 'sweetsmelling', 'scent', 'change']","['bush', 'flutterby']","['which', 'plant', 'sweetsmelling', 'scent', 'change', 'bush', 'flutterby']"
"In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal?",Troy.,"['team', 'which', 'main', 'one', 'moran', 'mullet', 'first', 'chaser', 'goal', 'score', 'irelands', 'troy', 'world', 'quidditch', 'three', 'cup']",['troy'],"['team', 'which', 'main', 'one', 'moran', 'mullet', 'first', 'chaser', 'goal', 'score', 'irelands', 'troy', 'world', 'quidditch', 'three', 'cup', 'troy']"
What does the incantation 'Incarcerous' conjure?,Binding ropes,"['incantation', 'incarcerous', 'conjure', 'what']","['rope', 'bind']","['incantation', 'incarcerous', 'conjure', 'what', 'rope', 'bind']"
"In The Sorcerer’s Stone, Harry and his friends are awarded last-minute House Points, putting Gryffindor ahead of Slytherin by just 10 points. What was the final tally?",482 to 472.,"['harry', 'tally', 'sorcerer', 'house', 'gryffindor', 'put', 'final', 'friend', 'slytherin', 'point', 'what', 'stone', 'ahead', 'lastminute', 'award']",[],"['harry', 'tally', 'sorcerer', 'house', 'gryffindor', 'put', 'final', 'friend', 'slytherin', 'point', 'what', 'stone', 'ahead', 'lastminute', 'award']"
In what potion is the Sneezewort featured?,Befuddlement Draught.,"['feature', 'potion', 'sneezewort', 'what']","['draught', 'befuddlement']","['feature', 'potion', 'sneezewort', 'what', 'draught', 'befuddlement']"
What followed the Soap Blizzard of 1378?,Wizarding Economic Bubble Burst,"['blizzard', 'follow', 'soap', 'what']","['burst', 'economic', 'wizarding', 'bubble']","['blizzard', 'follow', 'soap', 'what', 'burst', 'economic', 'wizarding', 'bubble']"
Which incantation changes a person's hair color?,Crinus Muto,"['which', 'person', 'hair', 'color', 'incantation', 'change']","['muto', 'crinus']","['which', 'person', 'hair', 'color', 'incantation', 'change', 'muto', 'crinus']"
What animal did Neville Longbottom lose on the Hogwarts Express?,Toad,"['neville', 'animal', 'longbottom', 'express', 'lose', 'what', 'hogwarts']",['toad'],"['neville', 'animal', 'longbottom', 'express', 'lose', 'what', 'hogwarts', 'toad']"
What colour does the presence of a ghost turn flames?,Blue,"['presence', 'turn', 'ghost', 'flame', 'what', 'colour']",['blue'],"['presence', 'turn', 'ghost', 'flame', 'what', 'colour', 'blue']"
This one's a piece of cake. Name a magical plant whose roots can be used in many potions.,Valerian,"['plant', 'whose', 'many', 'one', 'potion', 'piece', 'root', 'magical', 'use', 'cake', 'name']",['valerian'],"['plant', 'whose', 'many', 'one', 'potion', 'piece', 'root', 'magical', 'use', 'cake', 'name', 'valerian']"
How does Dumbledore escape from his office when the Ministry of Magic comes to take him to Azkaban?,"He grabs Fawkes’s tail, and they disappear in a flash of fire.","['come', 'office', 'when', 'how', 'escape', 'magic', 'dumbledore', 'azkaban', 'ministry', 'take']","['tail', 'disappear', 'grab', 'fire', 'flash', 'fawkess']","['come', 'office', 'when', 'how', 'escape', 'magic', 'dumbledore', 'azkaban', 'ministry', 'take', 'tail', 'disappear', 'grab', 'fire', 'flash', 'fawkess']"
Quidditch players are constantly at risk of injury throughout the game. How many possible Quidditch fouls are there?,700.,"['many', 'game', 'risk', 'injury', 'how', 'possible', 'constantly', 'quidditch', 'throughout', 'foul', 'player']",[],"['many', 'game', 'risk', 'injury', 'how', 'possible', 'constantly', 'quidditch', 'throughout', 'foul', 'player']"
"What was the name of the house where the Weasleys once lived, which became a second home to Harry Potter?",The Burrow,"['which', 'harry', 'live', 'potter', 'where', 'house', 'home', 'weasleys', 'what', 'second', 'name', 'become']",['burrow'],"['which', 'harry', 'live', 'potter', 'where', 'house', 'home', 'weasleys', 'what', 'second', 'name', 'become', 'burrow']"
What did Harry do to get him temporarily expelled from Hogwarts?,He chases away dementors,"['harry', 'get', 'hogwarts', 'temporarily', 'what', 'expel']","['dementors', 'chase', 'away']","['harry', 'get', 'hogwarts', 'temporarily', 'what', 'expel', 'dementors', 'chase', 'away']"
What is the Fwooper plumage used as?,A quill,"['plumage', 'use', 'fwooper', 'what']",['quill'],"['plumage', 'use', 'fwooper', 'what', 'quill']"
In what year was the book Harry Potter and the Sorcerer’s Stone released in the United States?,1998,"['harry', 'united', 'book', 'release', 'potter', 'sorcerer', 'what', 'stone', 'state', 'year']",[],"['harry', 'united', 'book', 'release', 'potter', 'sorcerer', 'what', 'stone', 'state', 'year']"
What do Switching Spells do?,Swap Objects for Each Other,"['spell', 'switching', 'what']","['object', 'swap']","['spell', 'switching', 'what', 'object', 'swap']"
Which finger was Peter Pettigrew missing?,Right index finger,"['which', 'pettigrew', 'finger', 'miss', 'peter']","['right', 'index', 'finger']","['which', 'pettigrew', 'finger', 'miss', 'peter', 'right', 'index', 'finger']"
Dumbledore has a scar above his left knee that is a perfect map of what?,The London Underground,"['scar', 'knee', 'perfect', 'map', 'leave', 'what', 'dumbledore']","['london', 'underground']","['scar', 'knee', 'perfect', 'map', 'leave', 'what', 'dumbledore', 'london', 'underground']"
What can cause a person's patronus to change?,Major life events,"['person', 'patronus', 'what', 'cause', 'change']","['major', 'life', 'event']","['person', 'patronus', 'what', 'cause', 'change', 'major', 'life', 'event']"
What do you feed a newly-hatched dragon?,Brandy and chicken blood,"['newlyhatched', 'dragon', 'fee', 'what']","['brandy', 'chicken', 'blood']","['newlyhatched', 'dragon', 'fee', 'what', 'brandy', 'chicken', 'blood']"
Who wrote The Owl Airforce: True Life Tales of War in Europe?,Simon Dentata,"['life', 'airforce', 'europe', 'who', 'write', 'war', 'owl', 'true', 'tale']","['simon', 'dentata']","['life', 'airforce', 'europe', 'who', 'write', 'war', 'owl', 'true', 'tale', 'simon', 'dentata']"
How do first years get from the Hogsmeade train station to the castle?,They take boats over the lake.,"['get', 'hogsmeade', 'first', 'castle', 'how', 'station', 'train', 'year']","['lake', 'boat', 'take']","['get', 'hogsmeade', 'first', 'castle', 'how', 'station', 'train', 'year', 'lake', 'boat', 'take']"
What are switching spells?,Simultaneous Transfigurations,"['spell', 'switching', 'what']","['transfiguration', 'simultaneous']","['spell', 'switching', 'what', 'transfiguration', 'simultaneous']"
What was the name of the Quidditch team on the sock Mrs. Weasley tries to give to Harry?,Puddlemere United,"['team', 'give', 'harry', 'weasley', 'try', 'sock', 'quidditch', 'what', 'mr', 'name']","['united', 'puddlemere']","['team', 'give', 'harry', 'weasley', 'try', 'sock', 'quidditch', 'what', 'mr', 'name', 'united', 'puddlemere']"
This one is a doozy. Name every ingredient contained in Polyjuice Potion. (Hint: There are seven.),"Lacewing flies, leeches, powdered Bicorn horn, knotgrass, fluxweed, shredded Boomslang skin, and a bit of the person you want to turn into.","['ingredient', 'potion', 'one', 'hint', 'polyjuice', 'every', 'contain', 'seven', 'doozy', 'name']","['horn', 'fly', 'powder', 'leech', 'lacewing', 'bicorn', 'shred', 'person', 'want', 'turn', 'skin', 'knotgrass', 'fluxweed', 'bit', 'boomslang']","['ingredient', 'potion', 'one', 'hint', 'polyjuice', 'every', 'contain', 'seven', 'doozy', 'name', 'horn', 'fly', 'powder', 'leech', 'lacewing', 'bicorn', 'shred', 'person', 'want', 'turn', 'skin', 'knotgrass', 'fluxweed', 'bit', 'boomslang']"
On which day do some staircases in Hogwarts Castle lead to somewhere different?,Friday,"['which', 'staircases', 'different', 'lead', 'day', 'castle', 'somewhere', 'hogwarts']",['friday'],"['which', 'staircases', 'different', 'lead', 'day', 'castle', 'somewhere', 'hogwarts', 'friday']"
Touching the trunk of a Wiggentree protects you from what?,Dark Creatures,"['protect', 'wiggentree', 'trunk', 'what', 'touch']","['creature', 'dark']","['protect', 'wiggentree', 'trunk', 'what', 'touch', 'creature', 'dark']"
Myomancy involves observation of which creatures?,Mice and rats,"['which', 'observation', 'involve', 'creature', 'myomancy']","['mouse', 'rat']","['which', 'observation', 'involve', 'creature', 'myomancy', 'mouse', 'rat']"
When was dragon-breeding outlawed?,Warlocks' Convention of 1709,"['dragonbreeding', 'outlaw', 'when']","['convention', 'warlock']","['dragonbreeding', 'outlaw', 'when', 'convention', 'warlock']"
What do I hate most of all?,Myths and Legends,"['hate', 'what']","['myth', 'legend']","['hate', 'what', 'myth', 'legend']"
"You may have heard that Luna Lovegood wears shoes to bed, but does anyone know the reason?",She sleepwalks,"['luna', 'lovegood', 'may', 'reason', 'wear', 'bed', 'shoe', 'anyone', 'know', 'hear']",['sleepwalks'],"['luna', 'lovegood', 'may', 'reason', 'wear', 'bed', 'shoe', 'anyone', 'know', 'hear', 'sleepwalks']"
What's another name for Belladonna?,Deadly Nightshade,"['another', 'whats', 'name', 'belladonna']","['nightshade', 'deadly']","['another', 'whats', 'name', 'belladonna', 'nightshade', 'deadly']"
Many know that Gryffindor's ghost is Nearly Headless Nick. But what is his full name?,Sir Nicholas de Mimsy-Porpington.,"['many', 'headless', 'ghost', 'nick', 'gryffindors', 'what', 'nearly', 'know', 'name', 'full']","['de', 'sir', 'mimsyporpington', 'nicholas']","['many', 'headless', 'ghost', 'nick', 'gryffindors', 'what', 'nearly', 'know', 'name', 'full', 'de', 'sir', 'mimsyporpington', 'nicholas']"
What kind of pest repellant was Hagrid looking for when saw Harry in Knockturn Alley?,Flesh-Eating Slugs,"['repellant', 'harry', 'saw', 'alley', 'when', 'knockturn', 'look', 'kind', 'pest', 'what', 'hagrid']","['flesheating', 'slug']","['repellant', 'harry', 'saw', 'alley', 'when', 'knockturn', 'look', 'kind', 'pest', 'what', 'hagrid', 'flesheating', 'slug']"
What is the incantation for the tongue-tying curse?,Mimblewimble.,"['incantation', 'curse', 'tonguetying', 'what']",['mimblewimble'],"['incantation', 'curse', 'tonguetying', 'what', 'mimblewimble']"
Who slayed Bellatrix Lestrange?,Molly Weasley,"['slay', 'who', 'bellatrix', 'lestrange']","['molly', 'weasley']","['slay', 'who', 'bellatrix', 'lestrange', 'molly', 'weasley']"
